"Country","location_name","lockdown_start","lockdown_end","Level","url","update","Confirmed"
"China","Xiangyang",2020-01-28,2020-03-25,"City","https://www.thepaper.cn/newsDetail_forward_5671283",2020-02-04,TRUE
"Philippines","Soccsksargen",2020-03-23,2020-04-30,"Region","https://www.philstar.com/headlines/2020/03/12/2000209/travel-and-manila-suspended-march-15-code-red-sublevel-2-raised-over-covid-19?fbclid=IwAR3AAILu_dcJdaSsjyrRDkaPvgc-djCiwGBgTc_13DWyg8E05B3vsxz02PE",2020-03-12,FALSE
"China","Huangshi",2020-01-24,2020-03-13,"City","https://news.sina.com.cn/c/2020-03-13/doc-iimxyqwa0259279.shtml",2020-03-14,TRUE
"China","Jingzhou",2020-01-24,2020-03-17,"City","https://www.yicai.com/news/100550418.html",2020-03-16,TRUE
"Montenegro","Tuzi",2020-03-24,NA,"Municipality","https://www.nst.com.my/news/nation/2020/03/575177/covid-19-movement-control-order-imposed-only-essential-sectors-operating",2020-03-16,FALSE
"Fiji","Lautoka",2020-03-20,2020-04-07,"City","https://www.channelnewsasia.com/news/world/fiji-city-sealed-off-as-first-covid-19-case-confirmed-12555438",2020-03-19,FALSE
"Liberia","Margibi",2020-03-23,2020-04-11,"County","https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus",2020-03-21,FALSE
"Costa Rica",NA,2020-03-23,NA,"National","https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1582-gobierno-endurece-medidas-sanitarias-para-impedir-contagio-de-covid-19",2020-03-23,FALSE
"Turkey","Turkey(first implementation)",2020-04-11,2020-04-13,"National","https://www.reuters.com/article/us-health-coronavirus-tunisia-army-idUSKBN21A2EH",2020-03-23,FALSE
"China","Shennongjia",2020-01-27,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Enshi",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Shiyan",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
